"Facility","Last Inspection Date","Score","Description","Address","City","Zip","Phone"
"HILLSIDE MANOR CONDOS        SWIMMING POOL",07/27/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1313 VALLEY VIEW RD ","GLENDALE","91202",""
"HILLSIDE MANOR CONDOS",06/26/2019,,"CONDO (21-50) UNITS","1313 VALLEY VIEW RD ","GLENDALE","91202",""
"1317 VALLEY VIEW RD APTS",01/18/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1317 VALLEY VIEW RD ","GLENDALE","91202",""
"AVENIDAS                     SPA POOL",08/31/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1333 VALLEY VIEW RD ","GLENDALE","91202",""
"AVENIDAS",06/26/2019,,"CONDO (21-50) UNITS","1333 VALLEY VIEW RD ","GLENDALE","91202",""
"AVENIDAS                     SWIMMING POOL",08/31/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1333 VALLEY VIEW RD ","GLENDALE","91202",""
"429 LINCOLN AVE APTS",07/27/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","429 LINCOLN AVE ","GLENDALE","91205",""
"CHARIOT INN MOTEL",03/07/2019,,"HOTEL (21-50) ROOMS","1118 E COLORADO ST ","GLENDALE","91205-1309",""
"EL RIO MOTEL",03/07/2019,,"HOTEL (21-50) ROOMS","1515 E COLORADO ST ","GLENDALE","91205-1513","818-243-3157"
"ECONOLODGE",03/07/2019,,"HOTEL (21-50) ROOMS","1437 E COLORADO ST ","GLENDALE","91205-1511","213-246-8367"
"VAGABOND INNS",07/03/2019,,"HOTEL (51-100) ROOMS","120 W COLORADO ST ","GLENDALE","91204-1304","213-284-7500"
"1415 STANLEY AVE APTS",04/05/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1415 STANLEY AVE ","GLENDALE","91206",""
"VALLEY VIEW VILLAS",06/26/2019,,"CONDO (5-10) UNITS","1406 VALLEY VIEW RD ","GLENDALE","91202",""
"VALLEY VIEW VILLAS           SWIMMING POOL",07/27/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1406 VALLEY VIEW RD ","GLENDALE","91202",""
"1445 VALLEY VIEW RD HOA SWIMMING POOL",08/14/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1445 VALLEY VIEW RD ","GLENDALE","91202",""
"CASA DE VALLEY VIEW          SWIMMING POOL",04/24/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1401 N VALLEY VIEW RD ","GLENDALE","91202",""
"REGENCY PARK HOA",06/26/2019,,"CONDO (21-50) UNITS","1325 VALLEY VIEW RD ","GLENDALE","91202","818-981-1802"
"VALLEY VIEW                  SPA POOL",08/14/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1429 VALLEY VIEW RD ","GLENDALE","91202",""
"REGENCY PARK HOA SWIMMING POOL",07/27/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1325 VALLEY VIEW RD ","GLENDALE","91202","818-981-1802"
"VALLEY VIEW",06/26/2019,,"CONDO (21-50) UNITS","1429 VALLEY VIEW RD ","GLENDALE","91202",""
"REGENCY PARK HOA SPA POOL",07/27/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1325 VALLEY VIEW RD ","GLENDALE","91202","818-981-1802"
"VALLEY VIEW                  SWIMMING POOL",08/14/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1429 VALLEY VIEW RD ","GLENDALE","91202",""
"128 SINCLAIR AVE APTS",06/28/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","128 SINCLAIR AVE ","GLENDALE","91206",""
"1445 VALLEY VIEW RD HOA",08/14/2018,,"CONDO (11-20) UNITS","1445 VALLEY VIEW RD ","GLENDALE","91202",""
"CASA DE VALLEY VIEW",06/14/2017,,"CONDO (101 + ) UNITS","1401 N VALLEY VIEW RD ","GLENDALE","91202",""
"132 SINCLAIR AVE APTS",06/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","132 SINCLAIR AVE ","GLENDALE","91206",""
"1027 VIRGINIA PL APTS",01/11/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1027 VIRGINIA PL ","GLENDALE","91204",""
"FAIRMONT SQUARE SWIMMING POOL",09/25/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","665 FAIRMONT AVE ","GLENDALE","91203","818-553-1611"
"700 FAIRMONT AVE APTS",06/28/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","700 FAIRMONT AVE ","GLENDALE","91203","818-591-1386"
"FAIRMONT SQUARE",09/25/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","665 FAIRMONT AVE ","GLENDALE","91203","818-553-1611"
"1002 VIRGINIA PL APTS",01/11/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1002 VIRGINIA PL ","GLENDALE","91204",""
"SUNBURST HOA                   SPA POOL",07/26/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","333 BURCHETT ST ","GLENDALE","91203",""
"SUNBURST HOA",06/25/2019,,"CONDO (21-50) UNITS","333 BURCHETT ST ","GLENDALE","91203",""
"SUNBURST HOA                   SWIMMING POOL",07/26/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","333 BURCHETT ST ","GLENDALE","91203",""
"GLEN ARBOR SWIMMING POOL",07/26/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","340 BURCHETT ST ","GLENDALE","91203","818-240-6534"
"GLEN ARBOR",05/14/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","340 BURCHETT ST ","GLENDALE","91203","818-240-6534"
"BURCHETT CONDOMINIUMS",01/22/2019,,"CONDO (5-10) UNITS","431 BURCHETT ST ","GLENDALE","91203",""
"GLENDALE TERRACE HOA",06/25/2019,,"CONDO (51-100) UNITS","365 BURCHETT ST ","GLENDALE","91203",""
"GLENDALE TERRACE HOA SPA POOL",07/26/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","365 BURCHETT ST ","GLENDALE","91203",""
"REGENCY COURT",06/25/2019,,"CONDO (21-50) UNITS","350 BURCHETT ST ","GLENDALE","91203",""
"GLENDALE TERRACE HOA SWIMMING POOL",07/26/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","365 BURCHETT ST ","GLENDALE","91203",""
"1042 WESTERN LLC SWIMMING POOL",06/27/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1042 WESTERN AVE ","GLENDALE","91201","818-291-9600"
"441 BURCHETT ST APTS SWIMMING POOL",01/02/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","441 BURCHETT ST ","GLENDALE","91203","818-241-9764"
"REGENCY COURT                SPA POOL",11/06/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","350 BURCHETT ST ","GLENDALE","91203",""
"441 BURCHETT ST APTS",06/06/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","441 BURCHETT ST ","GLENDALE","91203","818-241-9764"
"420 BURCHETT ST APTS",01/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","420 BURCHETT ST ","GLENDALE","91203","818-568-0198"
"WILSON GARDENS HOA",05/18/2017,,"CONDO (11-20) UNITS","1245 E WILSON AVE ","GLENDALE","91206",""
"580 W STOCKER ST APTS",10/30/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","580 W STOCKER ST ","GLENDALE","91202",""
"600 S BELMONT ST APTS",09/18/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","600 S BELMONT ST ","GLENDALE","91205",""
"557 W STOCKER ST APTS",10/05/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","557 W STOCKER ST ","GLENDALE","91202",""
"MONTEREY ISLAND",06/28/2019,,"CONDO (51-100) UNITS","222 MONTEREY RD ","GLENDALE","91206",""
"MONTEREY ISLAND              SPA POOL",06/27/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","222 MONTEREY RD ","GLENDALE","91206",""
"MONTEREY ISLAND              SWIMMING POOL",06/27/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","222 MONTEREY RD ","GLENDALE","91206",""
"1163 RAYMOND AVE APTS",09/14/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1163 RAYMOND AVE ","GLENDALE","91201",""
"BURCHETT GARDENS",06/25/2019,,"CONDO (51-100) UNITS","409 W BURCHETT ST ","GLENDALE","91203",""
"THE GARDENS",06/13/2019,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","333 MONTEREY RD ","GLENDALE","91206","818-551-9052"
"MONTEREY ROAD CONDOS SWIMMING POOL",06/14/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","400 MONTEREY RD ","GLENDALE","91206",""
"BURCHETT GARDENS               SPA POOL",01/02/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","409 W BURCHETT ST ","GLENDALE","91203",""
"BURCHETT GARDENS               SWIMMING POOL",01/02/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","409 W BURCHETT ST ","GLENDALE","91203",""
"823 HIGHLAND AVE APTS",01/10/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","823 HIGHLAND AVE ","GLENDALE","91201",""
"620 PATTERSON AVE APTS",01/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","620 PATTERSON AVE ","GLENDALE","91206",""
"WINCHESTER HOA",03/22/2019,,"CONDO (11-20) UNITS","1162 WINCHESTER AVE ","GLENDALE","91202",""
"VICTORS ROYALE ADULT RES LIV",10/31/2018,,"BOARDING HOME (16-50) PERSONS","120 E LAUREL ST ","GLENDALE","91205-3113","818-243-7442"
"1055 GROVER AVE APTS",05/09/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1055 GROVER AVE ","GLENDALE","91201","818-243-4858"
"618 E ACACIA INC",06/12/2019,,"CONDO (5-10) UNITS","618 E ACACIA AVE APT #F","GLENDALE","91205",""
"HOMEOWNERS ASSOCIATION",01/08/2019,,"CONDO (5-10) UNITS","714 N HOWARD ST ","GLENDALE","91206",""
"PLAZA DE ISABELLA HOA",11/17/2016,,"CONDO (11-20) UNITS","1165 RUBERTA AVE ","GLENDALE","91201",""
"724 N HOWARD ST APTS",08/15/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","724 N HOWARD ST ","GLENDALE","91206",""
"1111 E WINDSOR RD APTS",05/23/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1111 E WINDSOR RD ","GLENDALE","91205",""
"1826 N VERDUGO RD APTS",01/30/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1826 N VERDUGO RD ","GLENDALE","91208",""
"1914 N VERDUGO RD APTS",09/27/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1914 N VERDUGO RD ","GLENDALE","91208","310-551-5275"
"MONTEREY ROAD CONDOS",06/28/2019,,"CONDO (21-50) UNITS","400 MONTEREY RD ","GLENDALE","91206",""
"1160 N KENILWORTH AVE APTS",02/26/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1160 N KENILWORTH AVE ","GLENDALE","91202",""
"PALMER TOWNHOMES",10/05/2018,,"CONDO (5-10) UNITS","501 E PALMER AVE ","GLENDALE","91205",""
"601 PALM DR APTS",07/06/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","601 PALM DR ","GLENDALE","91202",""
"310 N CEDAR ST APTS",10/09/2018,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","310 N CEDAR ST ","GLENDALE","91206",""
"COLUMBUS SQUAR",06/24/2019,,"CONDO (21-50) UNITS","811 N COLUMBUS AVE ","GLENDALE","91203",""
"COLUMBUS SQUAR SPA POOL",11/28/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","811 N COLUMBUS AVE ","GLENDALE","91203",""
"321 N CEDAR ST APTS",04/02/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","321 N CEDAR ST ","GLENDALE","91206","818-781-9244"
"320 N CEDAR ST APTS",04/02/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","320 N CEDAR ST ","GLENDALE","91206",""
"305 N CEDAR ST HOA",10/09/2018,,"CONDO (5-10) UNITS","305 N CEDAR ST ","GLENDALE","91206",""
"GALLERIA VILLAS SPA POOL",08/08/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","428 HAWTHORNE ST ","GLENDALE","91204","818-548-7879"
"EAST PALMER",05/17/2019,,"CONDO (5-10) UNITS","403 E PALMER AVE ","GLENDALE","91205","818-244-9848"
"THE PALM GLEN APTS",02/22/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1500 S GLENDALE AVE ","GLENDALE","91205",""
"512 S GLENDALE AVE APTS",06/28/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","512 S GLENDALE AVE ","GLENDALE","91205",""
"1416 S GLENDALE AVE APTS",05/02/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1416 S GLENDALE AVE ","GLENDALE","91205","323-876-2034"
"HOA OF WILSON VILLAS",06/18/2019,,"CONDO (5-10) UNITS","1238 E WILSON AVE ","GLENDALE","91206",""
"GLENDALE DIPLOMAT HOA",05/31/2019,,"CONDO (11-20) UNITS","1229 E WILSON AVE ","GLENDALE","91206",""
"WILSON CONDOS",05/03/2017,,"CONDO (5-10) UNITS","1135 E WILSON AVE ","GLENDALE","91206",""
"FAIRFIELD VILLAGE",05/21/2019,,"CONDO (11-20) UNITS","1121 E WILSON AVE ","GLENDALE","91206",""
"WILSON TOWNHOUSE HOA",10/30/2018,,"CONDO (11-20) UNITS","1532 E WILSON AVE ","GLENDALE","91206",""
"914 1/2 E GARFIELD AVE APTS",02/25/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","914 1/2 E GARFIELD AVE ","GLENDALE","91205","818-702-5358"
"1351 E WINDSOR RD APTS",02/14/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1351 E WINDSOR RD ","GLENDALE","91205",""
"631 E ACACIA",06/12/2019,,"CONDO (5-10) UNITS","701 E ACACIA AVE ","GLENDALE","91205",""
"EL PATIO DE ORO              SWIMMING POOL",03/12/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","515 W JACKSON ST ","GLENDALE","91206",""
"1015 S ADAMS ST APTS",12/17/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","1015 S ADAMS ST","GLENDALE","91205","818-951-3425"
"ACACIA TOWNHOUSE HOA",06/12/2019,,"CONDO (11-20) UNITS","711 E ACACIA AVE ","GLENDALE","91205",""
"121 S VERDUGO RD APTS",08/02/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","121 S VERDUGO RD ","GLENDALE","91205",""
"801 E GARFIELD AVE APTS",06/13/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","801 E GARFIELD AVE ","GLENDALE","91205",""
"BELMONT WOODS HOA",11/19/2018,,"CONDO (5-10) UNITS","227 N BELMONT ST ","GLENDALE","91206",""
"CALIFORNIA WOODS",02/14/2019,,"CONDO (21-50) UNITS","301 N BELMONT ST ","GLENDALE","91206",""
"336 N CEDAR ST APTS",04/02/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","336 N CEDAR ST ","GLENDALE","91206",""
"PALMER TARRACE AKA 735",01/11/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","731 E PALMER AVE ","GLENDALE","91205","818-244-9092"
"2426 CANADA BLVD APTS",03/26/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","2426 CANADA BLVD ","GLENDALE","91208","818-553-1566"
"THE VERDUGO CAPRI",07/02/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1889 ALPHA RD ","GLENDALE","91208","818-789-2486"
"VISTA VERDUGO APTS",02/01/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1617 CALLE VAQUERO ","GLENDALE","91208","818-246-4755"
"MFD",11/08/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","228 S KENWOOD ST","GLENDALE","91205","310-360-7501"
"104 W MAPLE ST APTS",08/21/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","104 W MAPLE ST ","GLENDALE","91204","818-956-0210"
"1169 ROSEDALE AVE APTS",01/29/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1169 ROSEDALE AVE ","GLENDALE","91201","818-243-0649"
"VILLA CAPRI                    SWIMMING POOL",09/05/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","310 N JACKSON ST ","GLENDALE","91206",""
"VILLA CAPRI",09/05/2018,,"CONDO (51-100) UNITS","310 N JACKSON ST ","GLENDALE","91206",""
"TERRACE VIEW                 SPA POOL",05/10/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1517 E GARFIELD AVE ","GLENDALE","91205",""
"CAMERON ARMS",10/30/2018,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","327 CAMERON PL ","GLENDALE","91207","818-246-7221"
"MEDITERRANEAN WOODS            SWIMMING POOL",09/05/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","323 N JACKSON ST ","GLENDALE","91206",""
"TERRACE VIEW                 SWIMMING POOL",05/10/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1517 E GARFIELD AVE ","GLENDALE","91205",""
"330 LANGLEY ST APTS",03/27/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","330 LANGLEY ST ","GLENDALE","91205","818-248-8887"
"1254 VISTA CT APTS",06/05/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1254 VISTA CT ","GLENDALE","91205","818-242-6113"
"JACKSON PLACE HOA            SWIMMING POOL",10/01/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","500 E JACKSON PL ","GLENDALE","91206",""
"PARK TOWERS                  SWIMMING POOL",12/03/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","343 PIONEER DR ","GLENDALE","91203",""
"PARK TOWERS                  SPA POOL",12/03/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","343 PIONEER DR ","GLENDALE","91203",""
"PARK TOWERS                  SWIMMING POOL",12/03/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","343 PIONEER DR ","GLENDALE","91203",""
"TERRACE VIEW",06/08/2018,,"CONDO (101 + ) UNITS","1517 E GARFIELD AVE ","GLENDALE","91205",""
"PARK TOWERS",12/03/2018,,"CONDO (101 + ) UNITS","343 PIONEER DR ","GLENDALE","91203",""
"WATERSTONE AT GLENDALE",06/13/2019,,"MULTIPLE FAMILY DWELLING (51-100) UNITS","1501 5TH ST ","GLENDALE","91201","818-662-0992"
"ROYAL CAPRI SWIMMING POOL",07/18/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1280 BOYNTON ST ","GLENDALE","91205",""
"WATERSTONE AT GLENDALE SWIMMING POOL",06/13/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1501 5TH ST ","GLENDALE","91201","818-662-0992"
"WATERSTONE AT GLENDALE SPA POOL",06/13/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1501 5TH ST ","GLENDALE","91201","818-662-0992"
"LAGORA MANOR",06/06/2019,,"CONDO (11-20) UNITS","630 E GARFIELD AVE ","GLENDALE","91205",""
"ROYAL CAPRI",07/18/2019,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1280 BOYNTON ST ","GLENDALE","91205",""
"GLENDALE BEL PRE CONDOS        SWIMMING POOL",08/02/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1881 ALPHA RD ","GLENDALE","91208",""
"THE VERDUGO CAPRI SWIMMING POOL",07/02/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1889 ALPHA RD ","GLENDALE","91208","818-789-2486"
"OAK PARK HOMES SWIMMING POOL",10/02/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","424 OAK ST","GLENDALE","91204",""
"118 S ADAMS ST",09/06/2019,,"MULTIPLE FAMILY DWELLING (5-10) UNITS","118 S ADAMS ST","GLENDALE","91205",""
"1122 LA BOICE DR APTS",02/05/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1122 LA BOICE DR ","GLENDALE","91205",""
"VERDUGO/BROADWAY CONDO",08/01/2019,,"CONDO (5-10) UNITS","101 S VERDUGO RD ","GLENDALE","91205",""
"1819 SHERER LN APTS",12/06/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1819 SHERER LN ","GLENDALE","91208","818-243-6432"
"3400 DOWNING AVE APTS",10/18/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","3400 DOWNING AVE ","GLENDALE","91208","818-618-3373"
"725 N KENWOOD ST APTS",02/26/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","725 N KENWOOD ST ","GLENDALE","91206","818-246-7221"
"SINCLAIR GARDENS",02/15/2019,,"CONDO (51-100) UNITS","121 N SINCLAIR AVE ","GLENDALE","91206","818-500-2809"
"1422 ROCK GLEN AVE HOA SWIMMING POOL",08/07/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1422 ROCK GLEN AVE ","GLENDALE","91205","818-500-8731"
"3517 SPARR BLVD APTS",02/14/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","3517 SPARR BLVD ","GLENDALE","91208","818-243-2063"
"SINCLAIR GARDENS             SWIMMING POOL",08/07/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","121 N SINCLAIR AVE ","GLENDALE","91206","818-500-2809"
"PIEDMONT PARK POOL & SPA SPA POOL",07/13/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","444 PIEDMONT AVE ","GLENDALE","91206",""
"STANLEY CONDOMINIUMS         SPA POOL",03/15/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","1304 STANLEY AVE ","GLENDALE","91206",""
"PIEDMONT PARK VILLAS         SWIMMING POOL",07/13/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","444 PIEDMONT AVE ","GLENDALE","91206",""
"STANLEY CONDOMINIUMS         SWIMMING POOL",03/15/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1304 STANLEY AVE ","GLENDALE","91206",""
"STANLEY CONDOMINIUMS",03/15/2019,,"CONDO (11-20) UNITS","1304 STANLEY AVE ","GLENDALE","91206",""
"BARCELONA MANOR",03/14/2019,,"CONDO (21-50) UNITS","1146 E LEXINGTON DR ","GLENDALE","91206",""
"1345 HILDA AVE APTS SWIMMING POOL",12/28/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1345 HILDA AVE ","GLENDALE","91205","818-244-6020"
"GLEN DORA APARTMENTS SWIMMING POOL",09/28/2018,,"PUBLIC SWIMMING POOL LOW RISK 1","1222 E LEXINGTON DR ","GLENDALE","91206","818-548-7374"
"GLEN DORA APARTMENTS",09/28/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","1222 E LEXINGTON DR ","GLENDALE","91206","818-548-7374"
"1442 GLENDALE BLVD APTS",08/02/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1442 GLENDALE BLVD ","LOS ANGELES","90026",""
"1339 1/2 GLENDALE BLVD APTS",07/11/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1339 1/2 GLENDALE BLVD ","LOS ANGELES","90026",""
"FAX (323) 665-4252",12/18/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1450 GLENDALE BLVD ","LOS ANGELES","90026","310-779-7264"
"MARKWELL BOYNTON SWIMMING POOL",07/18/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1271 BOYNTON ST ","GLENDALE","91205",""
"WILSHIRE MANOR VERDUGO POOL SWIMMING POOL",03/22/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1502 DIXON ST ","GLENDALE","91205",""
"2040 VERDUGO BLVD APTS",12/13/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","2040 VERDUGO BLVD ","GLENDALE","91208",""
"THIRTY-FOUR EIGHTY-ONE",04/24/2019,,"CONDO (51-100) UNITS","3481 STANCREST DR ","GLENDALE","91208",""
"THIRTY-FOUR EIGHTY-ONE SPA POOL",04/24/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","3481 STANCREST DR ","GLENDALE","91208",""
"PORTER TOWNHOUSE HOA",02/08/2019,,"CONDO (5-10) UNITS","508 S PORTER ST ","GLENDALE","91205",""
"VALI-HI VIEW OWNER'S ASSOCIATION SPA POOL",04/23/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","3452 STANCREST DR ","GLENDALE","91208","818-248-3936"
"THIRTY-FOUR EIGHTY-ONE SWIMMING POOL",04/24/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","3481 STANCREST DR ","GLENDALE","91208",""
"VALI-HI VIEW OWNER'S ASSOCIATION SWIMMING POOL",04/23/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","3452 STANCREST DR ","GLENDALE","91208","818-248-3936"
"PORTER TOWNHOUSE ASSN        SWIMMING POOL",08/07/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","508 S PORTER ST ","GLENDALE","91205",""
"615 E CHEVY CHASE DR APTS",03/04/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","615 E CHEVY CHASE DR ","GLENDALE","91205",""
"PALMER VILLAS",04/06/2017,,"CONDO (11-20) UNITS","817 E PALMER AVE","GLENDALE","91205","323-284-0123"
"708 S VERDUGO RD APTS",07/11/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","708 S VERDUGO RD ","GLENDALE","91205",""
"318 CHEVY CHASE APTS",05/28/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","318 S CHEVY CHASE DR","GLENDALE","91204",""
"LOUISE DRYDEN APTS",11/01/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1105 N LOUISE ST ","GLENDALE","91207","818-242-1453"
"STANFORD ARMS APARTMENTS",07/03/2018,,"MULTIPLE FAMILY DWELLING (21-50) UNITS","107 W DRYDEN ST ","GLENDALE","91202","818-242-6113"
"CADILLAC APTS SWIMMING POOL",09/17/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","812 S GLENDALE AVE ","GLENDALE","91205","818-437-3379"
"3514 MARKET ST APTS",08/31/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","3514 MARKET ST ","GLENDALE","91208","818-912-4788"
"2125 GLENDALE BLVD APTS",09/20/2018,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","2125 GLENDALE BLVD ","LOS ANGELES","90026",""
"537 S PORTER ST APTS",02/27/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","537 S PORTER ST ","GLENDALE","91205",""
"PARK TOWERS                  SPA POOL",12/03/2018,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","343 PIONEER DR ","GLENDALE","91203",""
"1216 S GLENDALE AVE APTS",05/02/2019,,"MULTIPLE FAMILY DWELLING (11-20) UNITS","1216 S GLENDALE AVE ","GLENDALE","91205",""
"CAMPBELL PLACE                 SWIMMING POOL",04/25/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","1122 CAMPBELL ST","GLENDALE","91207","818-334-8026"
"VERDUGO PENTHOUSE CONDO SPA POOL",04/25/2019,,"PUBLIC SWIMMING POOL LOW RISK ADDITIONAL","2940 N VERDUGO RD ","GLENDALE","91208","818-892-0703"
"VERDUGO PENTHOUSE CONDO SWIMMING POOL",04/25/2019,,"PUBLIC SWIMMING POOL LOW RISK 1","2940 N VERDUGO RD ","GLENDALE","91208","818-892-0703"
"CAPRI AIRE",05/06/2019,,"CONDO (5-10) UNITS","328 GRISWOLD ST ","GLENDALE","91205",""
